conversation_id,user_id,session_id,timestamp,channel,language,device,user_type,conversation_turn,previous_utterance,utterance,extracted_entities,intent,topic_category,sentiment,urgency,bot_response,previous_bot_response,suggested_action,is_escalated,escalation_priority,confidence_score,response_time_ms
conv_870,user_3208,sess_1000,2025-07-15T12:25:16.453030,email,en,desktop,returning,1,,my experience was great,{},feedback,feedback_and_general,negative,low,I'm truly sorry to hear about your experience. Your feedback is taken very seriously and I will escalate this right away.,,log_feedback_ticket,no,P4,0.9385190299339496,557
conv_505,user_1689,sess_1002,2025-05-26T12:25:16.440885,chat,en,desktop,returning,1,,data management ACC-177483,{},account_help,account,neutral,high,"I can assist with your account. Could you specify what you need — password reset, profile update, or access issues?",,authenticate_and_load_account,no,P4,0.8880028821988879,1382
conv_758,user_5526,sess_1004,2025-07-30T12:25:16.449502,web,en,tablet,returning,1,,vegan product,{},product_inquiry,product,positive,medium,Of course! We have a great range. Could you tell me more about what you're looking for?,,fetch_product_details,no,P3,0.7979134779824347,908
conv_850,user_8524,sess_1011,2025-10-04T12:25:16.452399,email,en,desktop,returning,1,,report a problem,{},feedback,feedback_and_general,negative,medium,I'm truly sorry to hear about your experience. Your feedback is taken very seriously and I will escalate this right away.,,log_feedback_ticket,no,P3,0.7013351980934948,1629
conv_811,user_3735,sess_1015,2025-10-23T12:25:16.451180,email,en,tablet,returning,1,,outdoor use,{},product_inquiry,product,negative,low,I'm sorry if the product information wasn't clear. Let me provide you with accurate and complete details right now.,,fetch_product_details,no,P4,0.884269730311187,1002
conv_1493,user_6985,sess_1015,2026-04-27T15:50:30.118728,mobile_app,en,mobile,returning,2,outdoor use,I want to return ORD-504029,"{""order_id"": ""ORD-504029"", ""action"": ""refund""}",return_refund,order_management,negative,low,I apologize for the inconvenience. I'm prioritizing your refund request and will process it as quickly as possible.,I'm sorry if the product information wasn't clear. Let me provide you with accurate and complete details right now.,initiate_return_flow,no,P4,0.97,1997
conv_11,user_4086,sess_1016,2025-07-13T12:25:16.423787,email,en,tablet,new,1,,show me my orders,{},order_status,order_management,neutral,low,Your order status shows it's processing. Expected delivery is 3–5 business days from dispatch.,,lookup_order_by_id,no,P4,0.8414395600194349,1811
conv_273,user_2879,sess_1021,2025-06-07T12:25:16.433168,web,en,desktop,new,1,,cancel my subscription order,{"action": "cancel"},cancellation,order_management,negative,medium,I understand your frustration and I apologize. Let me cancel this order right away and arrange for any refund due.,,check_cancellation_eligibility,no,P3,0.7735650334812829,1643
conv_1164,user_3614,sess_1026,2025-05-05T12:25:16.463319,chat,en,mobile,returning,1,,you were so helpful thanks,{},thanks,conversation_flow,neutral,medium,You're welcome! Let me know if there's anything else I can assist you with.,,check_if_resolved,no,P3,0.94832506936098,598
conv_1268,user_4597,sess_1026,2025-09-10T12:25:16.466633,web,en,tablet,returning,2,you were so helpful thanks,file lost package claim,{},shipping_info,order_management,neutral,high,Shipping costs vary based on weight and destination. I can provide an exact quote if you share your delivery address.,You're welcome! Let me know if there's anything else I can assist you with.,fetch_shipping_rates,no,P4,0.7413793219671936,615
